,clu
Bradi3g38897,0
Bradi2g34570,0
Bradi3g38730,0
Bradi2g34850,0
Bradi5g19380,0
Bradi1g32912,0
Bradi4g29730,0
Bradi4g29852,0
Bradi4g41373,0
Bradi2g36200,0
Bradi1g11510,0
Bradi1g11240,0
Bradi5g19490,0
Bradi3g28060,0
Bradi2g39450,0
Bradi4g31050,0
Bradi2g40970,0
Bradi3g35820,0
Bradi2g34120,0
Bradi3g35726,0
Bradi5g19330,0
Bradi2g34000,0
Bradi2g26380,0
Bradi3g42350,0
Bradi1g52975,0
Bradi1g52120,0
Bradi1g51910,0
Bradi1g13490,0
Bradi3g40660,0
Bradi2g27914,0
Bradi2g27930,0
Bradi2g28430,0
Bradi5g18805,0
Bradi2g28434,0
Bradi1g12851,0
Bradi2g30905,0
Bradi2g31576,0
Bradi1g12715,0
Bradi2g31800,0
Bradi1g51040,0
Bradi2g33270,0
Bradi2g34010,0
Bradi1g33507,0
Bradi2g39300,0
Bradi2g41294,0
Bradi3g31880,0
Bradi3g31697,0
Bradi3g31420,0
Bradi4g39920,0
Bradi3g30480,0
Bradi2g41293,0
Bradi1g33810,0
Bradi3g30200,0
Bradi1g08505,0
Bradi3g30154,0
Bradi3g29460,0
Bradi3g29210,0
Bradi2g48850,0
Bradi3g28326,0
Bradi1g08157,0
Bradi3g28310,0
Bradi3g28307,0
Bradi3g28306,0
Bradi3g28304,0
Bradi1g07880,0
Bradi3g28302,0
Bradi2g46665,0
Bradi3g32297,0
Bradi1g08680,0
Bradi2g45086,0
Bradi4g31060,0
Bradi4g31220,0
Bradi3g35050,0
Bradi3g34955,0
Bradi3g34320,0
Bradi2g43700,0
Bradi1g63433,0
Bradi4g32080,0
Bradi4g40010,0
Bradi4g24635,3
Bradi1g51540,3
Bradi1g61090,3
Bradi1g62930,3
Bradi1g63330,3
Bradi1g43700,3
Bradi1g53740,3
Bradi1g46840,3
Bradi1g38010,3
Bradi4g21515,3
Bradi4g24610,3
Bradi4g21240,3
Bradi4g33510,3
Bradi1g43680,3
Bradi4g22160,3
Bradi1g56546,3
Bradi4g22610,3
Bradi1g47501,3
Bradi1g48470,3
Bradi4g26830,3
Bradi4g20849,3
Bradi1g49670,3
Bradi1g53790,3
Bradi1g45710,3
Bradi4g30540,3
Bradi4g32941,3
Bradi1g59280,3
Bradi4g32265,3
Bradi4g30120,3
Bradi1g62691,3
Bradi1g51357,3
Bradi0012s00100,3
Bradi1g65430,3
Bradi3g28300,3
Bradi3g30340,3
Bradi2g47760,3
Bradi3g30770,3
Bradi2g45320,3
Bradi2g44970,3
Bradi2g44750,3
Bradi3g34600,3
Bradi2g42450,3
Bradi3g35250,3
Bradi2g41187,3
Bradi2g40490,3
Bradi2g49912,3
Bradi2g37340,3
Bradi2g36580,3
Bradi2g35900,3
Bradi2g35620,3
Bradi2g35450,3
Bradi2g35090,3
Bradi3g39740,3
Bradi2g28170,3
Bradi2g27790,3
Bradi2g27740,3
Bradi2g26760,3
Bradi3g41837,3
Bradi3g42800,3
Bradi2g37000,3
Bradi2g50130,3
Bradi2g50136,3
Bradi2g50600,3
Bradi3g04790,3
Bradi3g04460,3
Bradi3g06750,3
Bradi3g09030,3
Bradi3g01600,3
Bradi3g00640,3
Bradi3g00500,3
Bradi3g00440,3
Bradi2g61970,3
Bradi3g14685,3
Bradi3g14690,3
Bradi2g59226,3
Bradi3g14907,3
Bradi3g16270,3
Bradi2g57720,3
Bradi3g16600,3
Bradi3g19680,3
Bradi2g54680,3
Bradi2g54520,3
Bradi2g54450,3
Bradi2g54210,3
Bradi3g20560,3
Bradi2g54090,3
Bradi2g53580,3
Bradi2g52910,3
Bradi3g23310,3
Bradi2g52250,3
Bradi3g42900,3
Bradi1g65120,3
Bradi3g43560,3
Bradi3g45651,3
Bradi2g01090,3
Bradi2g01050,3
Bradi2g00590,3
Bradi2g00250,3
Bradi1g77690,3
Bradi1g77580,3
Bradi4g01590,3
Bradi4g02940,3
Bradi1g76465,3
Bradi1g75660,3
Bradi1g74950,3
Bradi1g72480,3
Bradi2g01764,3
Bradi1g72430,3
Bradi4g07120,3
Bradi4g07190,3
Bradi1g71210,3
Bradi1g71200,3
Bradi4g08059,3
Bradi4g08667,3
Bradi1g68940,3
Bradi4g13337,3
Bradi4g13670,3
Bradi4g13770,3
Bradi4g13910,3
Bradi1g65440,3
Bradi1g72100,3
Bradi2g02647,3
Bradi2g03080,3
Bradi3g58920,3
Bradi2g23260,3
Bradi3g46800,3
Bradi3g46838,3
Bradi2g21770,3
Bradi3g47410,3
Bradi3g48883,3
Bradi2g18150,3
Bradi2g18030,3
Bradi2g17067,3
Bradi2g16970,3
Bradi3g51140,3
Bradi3g51831,3
Bradi2g14120,3
Bradi3g52460,3
Bradi2g12280,3
Bradi2g09790,3
Bradi3g54495,3
Bradi2g09300,3
Bradi3g55140,3
Bradi3g55170,3
Bradi3g55400,3
Bradi2g08840,3
Bradi3g56527,3
Bradi2g06467,3
Bradi2g06460,3
Bradi2g05374,3
Bradi2g04767,3
Bradi3g45160,3
Bradi2g10400,3
Bradi4g06370,3
Bradi3g05170,3
Bradi4g44490,3
Bradi1g05740,3
Bradi1g21440,3
Bradi5g10690,3
Bradi4g41070,3
Bradi1g14486,3
Bradi5g09230,3
Bradi1g34920,3
Bradi1g12677,3
Bradi1g08810,3
Bradi1g20880,3
Bradi1g06366,3
Bradi5g26400,3
Bradi1g07860,3
Bradi5g09130,3
